date,observed.total,predicted.total,observed.active,predicted.active
2020-10-16T00:00:00Z,7432680,7603919.394330567,62212,61732.70056902245
2020-10-17T00:00:00Z,7494551,7665293.183062374,61871,61373.78873180691
2020-10-18T00:00:00Z,7550273,7720369.75998532,55722,55076.57692294661
2020-10-19T00:00:00Z,7597063,7766309.029378739,46790,45939.269393418916
2020-10-20T00:00:00Z,7651107,7819660.430544978,54044,53351.40116623882
2020-10-21T00:00:00Z,7706946,7874840.847387885,55839,55180.416842906736
2020-10-22T00:00:00Z,7761312,7928510.77227155,54366,53669.92488366552
2020-10-23T00:00:00Z,7814682,7981158.634405734,53370,52647.86213418376
2020-10-24T00:00:00Z,7864811,8030493.040750016,50129,49334.40634428244
2020-10-25T00:00:00Z,7909959,8074740.2010890255,45148,44247.16033900902
2020-10-26T00:00:00Z,7946429,8110130.565560391,36470,35390.3644713657
2020-10-27T00:00:00Z,7990322,8153099.207794473,43893,42968.6422340814
2020-10-28T00:00:00Z,8040203,8202177.219930588,49881,49078.01213611569
2020-10-29T00:00:00Z,8088851,8249995.823061623,48648,47818.60313103441
2020-10-30T00:00:00Z,8137119,8297425.778375708,48268,47429.95531408489
2020-10-31T00:00:00Z,8184082,8343524.44053494,46963,46098.66215923242
2020-11-01T00:00:00Z,8229313,8387857.550125931,45231,44333.1095909914
2020-11-02T00:00:00Z,8267623,8425138.46501554,38310,37280.91488960851
2020-11-03T00:00:00Z,8313876,8470515.715587419,46253,45377.25057187863
2020-11-04T00:00:00Z,8364086,8519924.098334633,50210,49408.38274721429
2020-11-05T00:00:00Z,8411724,8566711.959198954,47638,46787.86086432077
2020-11-06T00:00:00Z,8462080,8616267.385242246,50356,49555.42604329251
2020-11-07T00:00:00Z,8507754,8661055.49062276,45674,44788.10538051464
2020-11-08T00:00:00Z,8553657,8706077.708738474,45903,45022.21811571345
2020-11-09T00:00:00Z,8591730,8743132.972511858,38073,37055.26377338357
2020-11-10T00:00:00Z,8636011,8786508.587054169,44281,43375.61454231106
2020-11-11T00:00:00Z,8683916,8833572.455650793,47905,47063.86859662458
2020-11-12T00:00:00Z,8728795,8877559.23716421,44879,43986.78151341714
2020-11-13T00:00:00Z,8773479,8921349.449332591,44684,43790.21216838062
2020-11-14T00:00:00Z,8814579,8961497.783629892,41100,40148.33429730125
2020-11-15T00:00:00Z,8845127,8990923.434216887,30548,29425.650586994365
2020-11-16T00:00:00Z,8874290,9018948.646763299,29163,28025.2125464119
2020-11-17T00:00:00Z,8912907,9056587.877039304,38617,37639.23027600534
2020-11-18T00:00:00Z,8958483,9101301.259363646,45576,44713.382324341685
2020-11-19T00:00:00Z,9004365,9146327.246208858,45882,45025.98684521206
2020-11-20T00:00:00Z,9050597,9191710.427747076,46232,45383.18153821863
2020-11-21T00:00:00Z,9095806,9236056.516676534,45209,44346.08892945759
2020-11-22T00:00:00Z,9139865,9279237.164141517,44059,43180.647464983165
2020-11-23T00:00:00Z,9177840,9316244.602495153,37975,37007.43835363537
2020-11-24T00:00:00Z,9222216,9359753.119387388,44376,43508.516892235726
2020-11-25T00:00:00Z,9266705,9403378.823382972,44489,43625.70399558358
2020-11-26T00:00:00Z,9309787,9445579.536771202,43082,42200.71338823065
2020-11-27T00:00:00Z,9351109,9485997.894991513,41322,40418.35822031088
2020-11-28T00:00:00Z,9392919,9526914.846687447,41810,40916.95169593394
2020-11-29T00:00:00Z,9431691,9564754.443897339,38772,37839.597209891304
2020-11-30T00:00:00Z,9462809,9594837.73121424,31118,30083.28731690161
2020-12-01T00:00:00Z,9499413,9630489.567928419,36604,35651.836714178324
2020-12-02T00:00:00Z,9534964,9665079.188055402,35551,34589.62012698315
2020-12-03T00:00:00Z,9571559,9700732.36730352,36595,35653.17924811877
2020-12-04T00:00:00Z,9608211,9736448.460188119,36652,35716.0928845983
2020-12-05T00:00:00Z,9644222,9771520.227009,36011,35071.766820881516
2020-12-06T00:00:00Z,9677203,9803527.760442853,32981,32007.533433852717
2020-12-07T00:00:00Z,9703770,9829044.676605789,26567,25516.916162936017
2020-12-08T00:00:00Z,9735850,9860152.97265712,32080,31108.296051330864
2020-12-09T00:00:00Z,9767371,9890701.599424656,31521,30548.626767536625
2020-12-10T00:00:00Z,9796744,9919081.922389558,29373,28380.322964901105
2020-12-11T00:00:00Z,9826775,9948135.454572864,30031,29053.53218330629
2020-12-12T00:00:00Z,9857029,9977421.576317223,30254,29286.121744358912
2020-12-13T00:00:00Z,9884100,10003493.020529207,27071,26071.444211984053
2020-12-14T00:00:00Z,9906165,10024506.246028926,22065,21013.22549971938
2020-12-15T00:00:00Z,9932547,10049896.328683954,26382,25390.08265502751
2020-12-16T00:00:00Z,9956557,10072894.355544327,24010,22998.026860373095
2020-12-17T00:00:00Z,9979447,10094767.659419619,22890,21873.30387529172
2020-12-18T00:00:00Z,10004599,10118937.258547883,25152,24169.599128264934
2020-12-19T00:00:00Z,10031223,10144603.304766346,26624,25666.04621846229
2020-12-20T00:00:00Z,10055560,10167964.174163638,24337,23360.869397291914
2020-12-21T00:00:00Z,10075116,10186499.090369027,19556,18534.916205389425
2020-12-22T00:00:00Z,10099066,10209485.056340983,23950,22985.96597195603
2020-12-23T00:00:00Z,10123778,10233249.135214342,24712,23764.078873358667
2020-12-24T00:00:00Z,10146845,10255358.255142776,23067,22109.11992843449
2020-12-25T00:00:00Z,10169118,10276672.94218177,22273,21314.687038993463
2020-12-26T00:00:00Z,10187850,10294417.677680295,18732,17744.735498525202
2020-12-27T00:00:00Z,10207871,10313473.587195376,20021,19055.909515080974
2020-12-28T00:00:00Z,10224303,10328912.244605945,16432,15438.657410569489
2020-12-29T00:00:00Z,10244852,10348518.766075168,20549,19606.52146922238
2020-12-30T00:00:00Z,10266674,10369419.231069691,21822,20900.464994523674
2020-12-31T00:00:00Z,10266674,10368289.565528903,0,-1129.6655407883227
