"date","Current_Reported_Infected_Mean","Current_Reported_Infected_Upper_CI","Current_Reported_Infected_Lower_CI","Current_Untested_Infected_Mean","Current_Untested_Infected_Upper_CI","Current_Untested_Infected_Lower_CI","Current_False_Negative_Mean","Current_False_Negative_Upper_CI","Current_False_Negative_Lower_CI","Total_Reported_Recovered_Mean","Total_Reported_Recovered_Upper_CI","Total_Reported_Recovered_Lower_CI","Total_Reported_Deceased_Mean","Total_Reported_Deceased_Upper_CI","Total_Reported_Deceased_Lower_CI","Total_Unreported_Recovered_Mean","Total_Unreported_Recovered_Upper_CI","Total_Unreported_Recovered_Lower_CI","Total_Unreported_Deceased_Mean","Total_Unreported_Deceased_Upper_CI","Total_Unreported_Deceased_Lower_CI","place"
2020-09-02,1209935,1260349,1161488,4834762,5039969,4626190,662920,690723,636874,2794266,2911850,2681930,48408,50477,46539,21085681,21963878,20199529,99174,103243,94928,"India"
2020-09-03,1235673,1286877,1186671,4832730,5038367,4623811,676554,704791,649942,2860975,2981135,2745938,49564,51682,47676,21555497,22452050,20649081,101464,105589,97136,"India"
2020-09-04,1258558,1310466,1208663,4824112,5029530,4614971,689039,717985,661973,2929109,3051977,2811235,50743,52922,48783,22025652,22941068,21098955,103773,108024,99325,"India"
2020-09-05,1279103,1331666,1229151,4811318,5016695,4602990,700551,729823,673222,2998495,3124312,2877876,51944,54153,49942,22495475,23429244,21548967,106092,110457,101566,"India"
2020-09-06,1297656,1350966,1246858,4795838,5000286,4589230,711272,740673,683608,3069006,3197552,2945820,53167,55412,51111,22964559,23917814,21998242,108429,112841,103850,"India"
2020-09-07,1314621,1368499,1263037,4778989,4981778,4573017,721286,751010,693282,3140547,3271957,3014604,54406,56704,52263,23432610,24405382,22445985,110774,115261,106102,"India"
2020-09-08,1330132,1384454,1277694,4761603,4963522,4556721,730728,760797,702290,3213015,3347503,3084261,55661,58041,53480,23899375,24890958,22892238,113127,117701,108373,"India"
2020-09-09,1344415,1399171,1291380,4744018,4944866,4539464,739623,769875,710542,3286357,3423898,3154913,56934,59366,54672,24364918,25375853,23337915,115490,120137,110652,"India"
2020-09-10,1357633,1412976,1303834,4726706,4926474,4523867,748056,778544,718652,3360465,3501464,3226395,58217,60699,55907,24829204,25859469,23781958,117857,122620,112950,"India"
2020-09-11,1369866,1425540,1316075,4709993,4908813,4508718,756053,787002,725872,3435310,3579382,3298337,59514,62037,57196,25292207,26341946,24225512,120235,125039,115164,"India"
2020-09-12,1381230,1437656,1327117,4694039,4890301,4492691,763652,795110,733193,3510830,3657989,3370987,60825,63410,58455,25753937,26822253,24668159,122616,127474,117468,"India"
2020-09-13,1391846,1448152,1337061,4678879,4874147,4478633,770886,802382,740161,3586960,3737467,3444007,62143,64780,59746,26214486,27301753,25109324,125009,129983,119755,"India"
2020-09-14,1401749,1458430,1346887,4664575,4859161,4465955,777767,809356,746756,3663686,3817697,3517841,63473,66181,60994,26673888,27779484,25548781,127397,132455,122041,"India"
2020-09-15,1411009,1467925,1356360,4651171,4844688,4452301,784328,815979,753340,3740946,3898084,3591834,64816,67614,62279,27132254,28256855,25987770,129800,134970,124329,"India"
2020-09-16,1419679,1477185,1364983,4638694,4830960,4442060,790616,822503,759417,3818714,3979573,3666632,66161,69040,63560,27589558,28733378,26425144,132204,137511,126666,"India"
2020-09-17,1427780,1485207,1372760,4627061,4818840,4431498,796636,828716,765268,3896970,4061101,3742055,67518,70469,64821,28045997,29207819,26861445,134615,140052,128961,"India"
2020-09-18,1435380,1493097,1380484,4616228,4808882,4421406,802392,834998,770949,3975683,4142959,3817519,68881,71888,66137,28501552,29681596,27297444,137025,142523,131275,"India"
2020-09-19,1442561,1500513,1387438,4606258,4797488,4410608,807891,840867,776117,4054758,4225247,3893406,70255,73324,67411,28956356,30154970,27733350,139441,145067,133560,"India"
2020-09-20,1449224,1507690,1394301,4597094,4788794,4401848,813156,846145,781214,4134280,4308131,3969973,71634,74768,68745,29410375,30626337,28167743,141861,147514,135991,"India"
2020-09-21,1455519,1513859,1400264,4588607,4779555,4395115,818203,851514,785992,4214151,4391187,4046614,73014,76202,70053,29863799,31098350,28602667,144285,150021,138275,"India"
2020-09-22,1461473,1520535,1406130,4580829,4770915,4387192,823044,856353,790621,4294350,4474909,4123701,74406,77673,71402,30316591,31570381,29036692,146718,152570,140583,"India"
2020-09-23,1467096,1526633,1411775,4573694,4762763,4380373,827682,860943,795441,4374880,4558706,4201048,75802,79107,72742,30768830,32040714,29469216,149152,155154,142955,"India"
2020-09-24,1472348,1531656,1417140,4567231,4755987,4374853,832151,865534,800157,4455723,4642904,4278713,77206,80574,74089,31220548,32510455,29901101,151592,157643,145336,"India"
2020-09-25,1477311,1536557,1422603,4561211,4750064,4368720,836407,869846,804338,4536856,4727291,4356499,78614,82060,75423,31671912,32980638,30333246,154044,160184,147648,"India"
2020-09-26,1481970,1541070,1427149,4555811,4744609,4364240,840503,874172,808618,4618279,4812094,4434614,80025,83541,76791,32122817,33449244,30764717,156491,162708,149971,"India"
2020-09-27,1486338,1545550,1431358,4550813,4739770,4359371,844411,878162,812275,4699959,4896908,4513115,81442,85003,78150,32573399,33917862,31196464,158949,165215,152330,"India"
2020-09-28,1490547,1550015,1435674,4546298,4734702,4355032,848178,881880,815821,4781826,4982447,4591671,82861,86462,79542,33023658,34386824,31627387,161405,167810,154681,"India"
2020-09-29,1494506,1553989,1439987,4542242,4729219,4351351,851815,885374,819288,4863954,5067575,4670615,84286,87922,80972,33473571,34855505,32058111,163865,170365,157087,"India"
2020-09-30,1498201,1557856,1443290,4538601,4725795,4348514,855296,889090,822534,4946306,5152980,4749920,85712,89421,82314,33923282,35323156,32489019,166327,172913,159451,"India"
2020-10-01,1494457,1554077,1439866,4545732,4732075,4355991,855518,889240,822779,5028857,5238975,4829577,87141,90884,83716,34372739,35791259,32920139,168794,175444,161852,"India"
2020-10-02,1488210,1546969,1433877,4537947,4722351,4349052,854594,888056,822088,5111194,5324776,4908657,88568,92395,85123,34822875,36260191,33351460,171260,178017,164224,"India"
2020-10-03,1480171,1538229,1426378,4519415,4701607,4330515,852760,886236,820097,5193188,5409998,4987771,89991,93870,86496,35272223,36728157,33780883,173730,180580,166572,"India"
2020-10-04,1470822,1528556,1417301,4493214,4673537,4305930,850250,883412,817656,5274718,5495221,5066497,91407,95315,87851,35719768,37194049,34210097,176192,183153,168916,"India"
2020-10-05,1460510,1517726,1407717,4461565,4640214,4276415,847193,879989,814869,5355720,5579283,5144346,92814,96784,89186,36164762,37656476,34636562,178641,185695,171248,"India"
2020-10-06,1449505,1506254,1397002,4426070,4602962,4243683,843708,876118,811333,5436156,5662993,5222060,94210,98188,90468,36606716,38116166,35060413,181081,188237,173619,"India"
2020-10-07,1437961,1493999,1385642,4387953,4563780,4207762,839905,872122,807720,5516005,5746253,5299116,95597,99651,91794,37045267,38572329,35480540,183498,190734,175900,"India"
2020-10-08,1426117,1480966,1374486,4348070,4520948,4170000,835818,868031,803689,5595192,5828710,5375404,96969,101090,93175,37480128,39025153,35897862,185902,193253,178265,"India"
2020-10-09,1414006,1468245,1363070,4307045,4476696,4131385,831501,863460,799659,5673737,5910264,5450870,98332,102490,94513,37911206,39473394,36311127,188289,195745,180573,"India"
2020-10-10,1401728,1455502,1351089,4265348,4431687,4092524,827005,858819,795287,5751606,5991346,5526114,99683,103925,95803,38338315,39917588,36721270,190657,198174,182879,"India"
2020-10-11,1389377,1442548,1339172,4223444,4388366,4052809,822357,853965,790896,5828797,6071414,5600299,101019,105320,97067,38761323,40357664,37127309,193005,200608,185196,"India"
2020-10-12,1376987,1429660,1327069,4181397,4342772,4012280,817579,849223,786097,5905280,6150693,5674053,102348,106697,98363,39180301,40793729,37529334,195341,202960,187441,"India"
2020-10-13,1364574,1416707,1315267,4139398,4298801,3971937,812672,844232,781670,5981093,6229602,5747118,103664,108093,99594,39595254,41225209,37927971,197656,205351,189653,"India"
2020-10-14,1352152,1403997,1303368,4097746,4255914,3932693,807677,838668,776977,6056217,6307710,5819484,104966,109480,100881,40006085,41652684,38322185,199952,207723,191836,"India"
2020-10-15,1339805,1391244,1291236,4056381,4212832,3893444,802601,833298,772486,6130635,6385284,5891399,106258,110822,102120,40412898,42074979,38712943,202230,210072,194017,"India"
2020-10-16,1327489,1378463,1279650,4015378,4169449,3854066,797440,827993,767526,6204391,6461735,5962455,107540,112138,103379,40815705,42492546,39099728,204489,212447,196199,"India"
2020-10-17,1315203,1366071,1268183,3974853,4125670,3815839,792209,822714,762447,6277471,6537666,6032907,108809,113481,104582,41214495,42906919,39482520,206730,214798,198344,"India"
2020-10-18,1303000,1353630,1256271,3934689,4082129,3777914,786949,817515,757440,6349853,6612632,6102537,110067,114794,105773,41609322,43317826,39861797,208951,217072,200491,"India"
2020-10-19,1290857,1340981,1244567,3895082,4041332,3740802,781646,812051,752548,6421574,6687153,6171385,111313,116097,106986,42000235,43723665,40236214,211151,219350,202621,"India"
2020-10-20,1278826,1328158,1232750,3855976,4000678,3703345,776261,806749,747641,6492589,6761171,6239618,112549,117346,108200,42387209,44126202,40607905,213332,221652,204735,"India"
2020-10-21,1266850,1316230,1221372,3817283,3960033,3667357,770840,800768,742093,6562963,6834148,6307477,113769,118603,109333,42770456,44524245,40976330,215501,223940,206793,"India"
2020-10-22,1254963,1303865,1209924,3779064,3920078,3630351,765393,795039,737068,6632679,6906266,6374490,114980,119870,110466,43149882,44918328,41341208,217648,226115,208841,"India"
2020-10-23,1243179,1291888,1198459,3741258,3880877,3593917,759913,789305,732054,6701726,6977830,6441169,116181,121112,111636,43525596,45308788,41702856,219776,228355,210930,"India"
2020-10-24,1231475,1279554,1187175,3703965,3842525,3558483,754402,783321,726767,6770100,7048567,6507353,117370,122380,112789,43897619,45694680,42060165,221887,230574,212955,"India"
2020-10-25,1219877,1267577,1176159,3667133,3804674,3523941,748874,777671,721338,6837835,7118854,6572281,118546,123552,113937,44265922,46077616,42414315,223980,232729,214957,"India"
2020-10-26,1208364,1255349,1165169,3630731,3766629,3489819,743340,771821,716223,6904936,7188131,6636764,119710,124794,115051,44630634,46456566,42763674,226051,234838,216920,"India"
2020-10-27,1196939,1243521,1154580,3594748,3730585,3455619,737794,765833,711062,6971381,7257093,6700875,120864,126022,116144,44991786,46831541,43110728,228107,236926,218900,"India"
2020-10-28,1185623,1231655,1143694,3559179,3693796,3421093,732224,760286,705676,7037201,7325271,6764576,122009,127201,117269,45349398,47202842,43454657,230144,239003,220866,"India"
2020-10-29,1174395,1219845,1132771,3524055,3656717,3387874,726644,754222,700388,7102404,7392527,6827679,123142,128361,118404,45703476,47570087,43795282,232160,241081,222830,"India"
2020-10-30,1163266,1208270,1121848,3489245,3620624,3354680,721059,748558,695186,7166985,7459582,6889880,124263,129537,119493,46054160,47934601,44132892,234163,243131,224770,"India"
2020-10-31,1152216,1196769,1111099,3454800,3585609,3321514,715466,742465,690050,7230942,7526228,6951893,125374,130682,120578,46401406,48294975,44467155,236145,245166,226654,"India"
2020-11-01,1141270,1185213,1100606,3420844,3550180,3289096,709879,736787,684578,7294282,7592092,7012838,126474,131834,121663,46745226,48651579,44797796,238109,247135,228596,"India"
2020-11-02,1130440,1173421,1090225,3387297,3514620,3256594,704296,730954,679353,7357007,7656710,7073156,127566,132956,122666,47085685,49005837,45125191,240058,249208,230468,"India"
2020-11-03,1119712,1162336,1080098,3354094,3479930,3225022,698710,725001,674173,7419136,7721393,7132809,128645,134054,123745,47422819,49356107,45449300,241989,251250,232325,"India"
2020-11-04,1109061,1150575,1070167,3321252,3445926,3194408,693109,719291,668453,7480685,7785120,7192599,129715,135184,124767,47756673,49701783,45770443,243901,253233,234124,"India"
2020-11-05,1098486,1139375,1060088,3288760,3411230,3163276,687533,713358,663135,7541640,7848362,7251484,130774,136311,125810,48087290,50044721,46088508,245799,255219,235959,"India"
2020-11-06,1088001,1128505,1049693,3256582,3377772,3131953,681975,707717,657932,7602016,7910830,7309968,131825,137373,126830,48414695,50383582,46404146,247681,257260,237818,"India"
2020-11-07,1077626,1117851,1039372,3224791,3342964,3101104,676428,702043,652541,7661787,7972654,7367632,132861,138445,127807,48738866,50720135,46716083,249545,259177,239594,"India"
2020-11-08,1067350,1106840,1029770,3193359,3309963,3071366,670909,696322,647457,7720975,8034084,7424868,133892,139533,128777,49059881,51053158,47025043,251390,261140,241365,"India"
2020-11-09,1057172,1096374,1020350,3162201,3277472,3040919,665378,690550,642220,7779609,8094873,7481499,134912,140562,129811,49377831,51382753,47331359,253222,263025,243125,"India"
2020-11-10,1047042,1085165,1010706,3131382,3244260,3011634,659852,684819,636872,7837694,8155045,7537989,135921,141623,130781,49692675,51709835,47634386,255035,264910,244889,"India"
2020-11-11,1037033,1074676,1001013,3100939,3212296,2982698,654350,678790,631554,7895206,8214460,7593533,136923,142683,131733,50004424,52032177,47934452,256833,266751,246634,"India"
2020-11-12,1027115,1064355,991731,3070820,3179785,2954518,648872,673113,626383,7952156,8273582,7648301,137915,143687,132677,50313132,52352429,48231523,258615,268580,248349,"India"
2020-11-13,1017283,1054187,982059,3040993,3148071,2926730,643424,667288,621008,8008562,8332092,7702984,138897,144702,133621,50618850,52670326,48525691,260381,270365,250057,"India"
2020-11-14,1007533,1043981,972595,3011444,3117346,2898885,637981,661651,615650,8064445,8390366,7756892,139866,145649,134549,50921611,52985730,48816859,262129,272175,251710,"India"
2020-11-15,997877,1033969,963672,2982207,3087682,2870786,632557,655832,610544,8119777,8447635,7810265,140829,146627,135494,51221461,53297749,49105970,263864,274002,253365,"India"
2020-11-16,988321,1023992,954719,2953212,3057640,2843090,627157,650117,605181,8174555,8504054,7863135,141782,147623,136400,51518407,53606737,49390776,265583,275771,255046,"India"
2020-11-17,978842,1014422,946032,2924567,3027788,2815250,621788,644495,600003,8228801,8560126,7915409,142724,148614,137307,51812423,53912955,49674345,267284,277550,256676,"India"
2020-11-18,969454,1004469,936743,2896163,2999234,2788702,616434,638922,594823,8282524,8615891,7967112,143661,149601,138200,52103641,54215874,49954729,268971,279287,258259,"India"
2020-11-19,960141,995007,927345,2868069,2970571,2761169,611109,633388,589545,8335733,8670837,8018278,144587,150562,139114,52392006,54515749,50232818,270643,280994,259848,"India"
2020-11-20,950918,985153,918613,2840283,2941751,2734505,605803,627715,584569,8388430,8725530,8069200,145503,151498,139999,52677561,54813823,50507274,272300,282732,261490,"India"
2020-11-21,941785,975734,910203,2812740,2913750,2708628,600539,622243,579748,8440614,8779481,8119339,146412,152453,140849,52960330,55108219,50779433,273942,284414,263067,"India"
2020-11-22,932761,966143,901900,2785404,2885569,2682243,595285,616914,574584,8492281,8832934,8169341,147311,153371,141720,53240379,55399872,51048826,275565,286086,264650,"India"
2020-11-23,923796,956492,893404,2758381,2857376,2656559,590059,611538,569618,8543457,8885898,8219379,148203,154297,142567,53517686,55688083,51316179,277179,287755,266200,"India"
2020-11-24,914897,947583,884684,2731624,2829403,2630682,584860,605845,564446,8594141,8938403,8268546,149085,155176,143438,53792269,55974371,51581411,278776,289412,267735,"India"
2020-11-25,906097,938285,876485,2705103,2801604,2605547,579701,600432,559355,8644326,8990200,8317162,149960,156075,144238,54064163,56258198,51843418,280357,291029,269259,"India"
2020-11-26,897384,929175,868408,2678906,2774085,2580157,574576,595086,554698,8694022,9041629,8365548,150825,156996,145043,54333414,56537894,52102545,281920,292688,270775,"India"
2020-11-27,888780,920383,860070,2652913,2746797,2556050,569482,589849,550109,8743224,9092361,8413231,151681,157893,145862,54600045,56815493,52359625,283474,294316,272302,"India"
2020-11-28,880230,911205,851502,2627192,2719860,2531471,564416,584597,545143,8791949,9142696,8460720,152528,158763,146703,54864101,57091037,52614108,285012,295898,273812,"India"
2020-11-29,871747,902606,843178,2601704,2694253,2506788,559373,579442,540442,8840207,9192867,8507360,153371,159638,147514,55125556,57363335,52866769,286536,297483,275275,"India"
2020-11-30,863326,893922,834705,2576462,2668612,2482801,554364,574207,535758,8888020,9242500,8553637,154202,160559,148336,55384463,57633489,53116586,288045,299081,276709,"India"
2020-12-01,854993,885012,826584,2551500,2643202,2458249,549386,568989,531070,8935348,9291357,8599668,155026,161435,149150,55640826,57900690,53363813,289539,300659,278125,"India"
2020-12-02,846739,876502,818458,2526719,2618368,2434576,544456,563874,526375,8982227,9339863,8645485,155841,162278,149968,55894714,58165072,53608899,291019,302218,279545,"India"
2020-12-03,838581,867952,810596,2502180,2593634,2410702,539536,558743,521736,9028616,9387672,8690223,156650,163131,150765,56146105,58426915,53851330,292487,303724,280961,"India"
2020-12-04,830479,859516,802605,2477890,2568706,2387516,534655,553494,517210,9074570,9434824,8735061,157451,163962,151541,56395053,58685926,54091414,293941,305221,282335,"India"
2020-12-05,822460,851157,795213,2453835,2543923,2364636,529806,548364,512620,9120080,9481747,8779329,158242,164781,152256,56641556,58942980,54329345,295379,306710,283746,"India"
2020-12-06,814527,842757,787735,2429973,2519255,2341368,524987,543530,508125,9165131,9528216,8822956,159027,165576,152986,56885680,59196915,54565262,296807,308196,285113,"India"
2020-12-07,806632,834576,780411,2406361,2494695,2319211,520209,538607,503714,9209768,9574336,8866396,159806,166354,153774,57127384,59445660,54798586,298218,309627,286518,"India"
2020-12-08,798813,826504,772920,2382979,2470465,2296660,515457,533498,498992,9253951,9619798,8909175,160576,167139,154541,57366752,59692020,55029761,299613,311078,287838,"India"
2020-12-09,791095,818654,765389,2359755,2445817,2274013,510738,528679,494486,9297690,9665052,8951511,161339,167907,155258,57603762,59937198,55258530,300997,312504,289173,"India"
2020-12-10,783448,810526,758086,2336813,2422408,2251512,506063,523871,489907,9341014,9710195,8993525,162095,168691,155965,57838409,60179294,55484603,302370,313912,290523,"India"
2020-12-11,775847,802351,750554,2314095,2398612,2230264,501415,518971,485452,9383919,9754554,9035048,162844,169464,156721,58070741,60419311,55708831,303731,315336,291818,"India"
2020-12-12,768320,794826,743381,2291585,2375746,2208160,496794,514290,480843,9426403,9798608,9076222,163584,170267,157453,58300835,60656133,55931713,305078,316739,293123,"India"
2020-12-13,760893,787197,736182,2269249,2352122,2186720,492201,509298,476479,9468452,9842268,9117037,164318,170993,158163,58528687,60891619,56151866,306416,318139,294376,"India"
2020-12-14,753520,779437,728803,2247185,2329229,2164673,487650,504631,472203,9510093,9885370,9157643,165043,171747,158877,58754251,61123478,56369608,307738,319495,295660,"India"
2020-12-15,746208,771822,721869,2225266,2306597,2143314,483137,499791,467566,9551342,9928129,9197838,165763,172505,159536,58977618,61351798,56585217,309044,320857,296974,"India"
2020-12-16,738992,764350,714992,2203541,2283950,2122166,478666,495139,463353,9592158,9970597,9237316,166476,173234,160212,59198786,61577714,56799230,310343,322167,298235,"India"
2020-12-17,731812,756672,708119,2182078,2261720,2101831,474225,490524,458980,9632598,10012426,9276309,167181,173969,160881,59417764,61801416,57010867,311627,323447,299451,"India"
2020-12-18,724707,749401,701313,2160774,2239012,2081806,469814,485743,454884,9672625,10054069,9315149,167881,174684,161587,59634567,62022804,57220875,312902,324746,300648,"India"
2020-12-19,717660,742044,694498,2139724,2216930,2061833,465427,481277,450594,9712268,10094988,9353532,168573,175384,162291,59849252,62242799,57428278,314162,326027,301882,"India"
2020-12-20,710690,734774,687833,2118820,2195348,2042119,461073,476756,446502,9751518,10135510,9391648,169259,176079,162973,60061855,62460086,57633047,315410,327296,303080,"India"
2020-12-21,703772,727472,681187,2098104,2173001,2021911,456762,472328,442440,9790381,10175583,9429415,169938,176766,163648,60272351,62674584,57836092,316649,328542,304264,"India"
2020-12-22,696929,720302,674829,2077606,2151700,2001777,452488,467901,438198,9828852,10215281,9466772,170609,177483,164294,60480743,62887301,58037333,317876,329833,305386,"India"
2020-12-23,690139,713402,667832,2057325,2131054,1982827,448247,463474,433929,9866957,10254484,9503475,171274,178175,164936,60687046,63097535,58236760,319090,331041,306590,"India"
2020-12-24,683404,706400,661396,2037167,2110742,1963118,444031,459189,429780,9904689,10293409,9540079,171933,178844,165564,60891371,63306407,58434852,320294,332259,307757,"India"
2020-12-25,676754,699741,654984,2017286,2089906,1943393,439842,454915,425674,9942030,10331801,9575839,172587,179509,166228,61093608,63512875,58630217,321483,333488,308915,"India"
2020-12-26,670150,692991,648588,1997581,2069371,1924042,435703,450490,421616,9979020,10369945,9611557,173233,180181,166856,61293844,63719108,58823462,322663,334696,310060,"India"
2020-12-27,663605,686015,642444,1978044,2049100,1905216,431592,446342,417590,10015640,10407522,9647180,173871,180853,167444,61492130,63923593,59015333,323829,335895,311191,"India"
2020-12-28,657142,679180,635906,1958682,2028950,1886352,427502,441994,413788,10051893,10444924,9682332,174505,181531,168056,61688453,64126591,59205149,324984,337140,312329,"India"
2020-12-29,650735,672747,629804,1939482,2009191,1868059,423465,437976,410059,10087783,10481765,9717132,175132,182180,168646,61882818,64327768,59393023,326127,338318,313453,"India"
2020-12-30,644369,666304,623488,1920456,1989414,1849738,419454,433747,406232,10123326,10518224,9751824,175754,182831,169284,62075253,64527363,59579560,327262,339483,314541,"India"
2020-12-31,638085,659745,617312,1901625,1970634,1832160,415474,429679,402391,10158517,10554476,9785582,176370,183467,169869,62265799,64725453,59763205,328386,340600,315635,"India"
2021-01-01,631857,653389,611164,1882964,1951769,1813645,411522,425548,398713,10193354,10590028,9819416,176978,184093,170471,62454454,64920717,59946574,329498,341759,316692,"India"
2021-01-02,625671,647015,604951,1864491,1932556,1795740,407608,421599,394791,10227844,10625319,9852879,177581,184704,171052,62641205,65113683,60127279,330599,342887,317739,"India"
2021-01-03,619544,640726,599286,1846160,1913997,1778714,403729,417621,391045,10261996,10660373,9886058,178178,185331,171640,62826115,65305814,60306748,331687,343962,318778,"India"
2021-01-04,613467,634181,593691,1828049,1895226,1761113,399883,413771,387282,10295812,10695152,9918645,178770,185931,172227,63009160,65495460,60483659,332765,345098,319834,"India"
2021-01-05,607479,628043,587632,1810097,1876941,1743803,396082,409891,383432,10329274,10729476,9951304,179357,186533,172806,63190372,65682751,60658813,333834,346191,320876,"India"
2021-01-06,601526,621804,581976,1792312,1858901,1726784,392293,405871,379772,10362412,10763807,9983371,179936,187152,173381,63369791,65868954,60832936,334894,347292,321874,"India"
2021-01-07,595642,615466,576251,1774727,1840632,1710357,388535,401956,375828,10395208,10797601,10015413,180511,187760,173912,63547402,66052996,61005229,335944,348369,322882,"India"
2021-01-08,589798,609456,570471,1757268,1823036,1693518,384817,397929,372319,10427685,10830987,10047067,181080,188357,174475,63723230,66235105,61175492,336983,349429,323886,"India"
2021-01-09,584020,603830,564836,1739994,1805349,1676621,381120,394282,368934,10459843,10864099,10078309,181641,188922,175005,63897301,66415008,61344850,338012,350493,324877,"India"
2021-01-10,578297,597808,559148,1722846,1788199,1660701,377470,390476,365283,10491683,10896913,10109284,182200,189503,175534,64069656,66592496,61511975,339029,351553,325876,"India"
2021-01-11,572620,591905,553649,1705876,1771026,1643942,373847,386584,361858,10523199,10929415,10139933,182753,190076,176079,64240293,66767752,61677403,340039,352591,326876,"India"
2021-01-12,566996,586111,548406,1689063,1753560,1628039,370266,383038,358590,10554409,10961616,10170040,183301,190613,176625,64409226,66940620,61840588,341039,353624,327814,"India"
2021-01-13,561413,580210,542828,1672402,1737031,1612221,366720,379356,355103,10585309,10993332,10199976,183845,191144,177171,64576454,67112478,62002763,342028,354622,328757,"India"
2021-01-14,555885,574757,537496,1655883,1719886,1596393,363197,375782,351644,10615895,11024642,10229670,184382,191714,177704,64742000,67282509,62163240,343008,355660,329695,"India"
2021-01-15,550433,569060,532229,1639546,1703481,1580680,359703,372167,348324,10646169,11055564,10259078,184911,192252,178215,64905870,67451295,62321859,343979,356642,330626,"India"
2021-01-16,545018,563522,527038,1623376,1687107,1565762,356226,368597,345012,10676146,11086327,10288353,185438,192820,178731,65068089,67617695,62479169,344939,357653,331502,"India"
2021-01-17,539642,558074,521746,1607331,1670105,1549799,352795,365141,341641,10705823,11116618,10317171,185959,193331,179234,65228712,67782790,62634677,345888,358613,332400,"India"
2021-01-18,534341,552722,516328,1591467,1653899,1534494,349390,361650,338245,10735193,11146834,10345420,186473,193884,179752,65387693,67945929,62788586,346830,359574,333299,"India"
2021-01-19,529084,547408,511413,1575698,1637591,1519334,346019,358140,334942,10764280,11176773,10373616,186984,194412,180246,65545104,68107013,62941442,347764,360536,334173,"India"
2021-01-20,523885,542084,506347,1560132,1621272,1504144,342662,354610,331626,10793070,11206533,10401561,187487,194928,180728,65700920,68266948,63092703,348688,361521,335061,"India"
2021-01-21,518709,536861,500954,1544714,1604729,1488832,339350,351208,328429,10821584,11235799,10429309,187989,195471,181221,65855137,68424684,63242132,349604,362507,335916,"India"
2021-01-22,513612,531676,496000,1529359,1588969,1473367,336050,347687,325210,10849803,11264538,10456871,188484,195958,181692,66007878,68580814,63390483,350507,363421,336803,"India"
2021-01-23,508548,526318,491226,1514239,1573558,1458614,332799,344570,321922,10877744,11292924,10483977,188974,196434,182203,66159028,68735747,63537316,351404,364368,337660,"India"
