date,sap.crc.estim,sap.crc.low,sap.crc.high,sap.cuc.estim,sap.cuc.low,sap.cuc.high,sap.ctc.estim,sap.ctc.low,sap.ctc.high
2020-10-16T00:00:00Z,7430827,7197142,7686979,525553629,34626343,1060561378,532984455,42073312,1067983729
2020-10-17T00:00:00Z,7490540,7256092,7749192,529369647,34893791,1067081615,536860186,42398412,1074564273
2020-10-18T00:00:00Z,7548766,7313798,7810657,533063809,35153053,1073266764,540612574,42718779,1080794323
2020-10-19T00:00:00Z,7605479,7370558,7871135,536634210,35407282,1079138460,544239687,43031704,1086737759
2020-10-20T00:00:00Z,7660679,7427492,7931016,540079761,35657514,1084681991,547740439,43340876,1092312981
2020-10-21T00:00:00Z,7714366,7483300,7989619,543400160,35903737,1089891323,551114525,43644592,1097553633
2020-10-22T00:00:00Z,7766544,7538096,8046977,546595719,36148418,1094729272,554362262,43942991,1102450848
2020-10-23T00:00:00Z,7817224,7591282,8103472,549667371,36387462,1099273951,557484594,44237463,1107033461
2020-10-24T00:00:00Z,7866420,7644796,8158822,552616573,36623051,1103559655,560482992,44526744,1111360432
2020-10-25T00:00:00Z,7914155,7693404,8213040,555445243,36855550,1107569054,563359397,44809483,1115414781
2020-10-26T00:00:00Z,7960450,7738125,8266389,558155783,37083011,1111309118,566116232,45086597,1119171046
2020-10-27T00:00:00Z,8005335,7777125,8319445,560750937,37307635,1114749908,568756271,45358840,1122649327
2020-10-28T00:00:00Z,8048842,7810495,8371177,563233663,37525809,1117963390,571282504,45626697,1125881900
2020-10-29T00:00:00Z,8090992,7841637,8421935,565607189,37741954,1120912953,573698180,45889591,1128869100
2020-10-30T00:00:00Z,8131829,7872771,8472414,567874977,37954803,1123653648,576006805,46150041,1131619264
2020-10-31T00:00:00Z,8171383,7901203,8521015,570040500,38163643,1126215321,578211882,46406666,1134196972
2020-11-01T00:00:00Z,8209695,7926008,8570252,572107473,38365559,1128530265,580317167,46658739,1136540992
2020-11-02T00:00:00Z,8246798,7950912,8618034,574079574,38564055,1130702862,582326371,46907724,1138740571
2020-11-03T00:00:00Z,8282731,7972593,8665229,575960541,38759362,1132718500,584243271,47151108,1140756146
2020-11-04T00:00:00Z,8317528,7993183,8711108,577754055,38953689,1134570039,586071582,47386850,1142628798
2020-11-05T00:00:00Z,8351225,8011656,8756362,579463807,39144990,1136283739,587815031,47618255,1144350545
2020-11-06T00:00:00Z,8383861,8027999,8801063,581093437,39332762,1137852089,589477297,47845734,1145906231
2020-11-07T00:00:00Z,8415472,8042369,8845468,582646555,39516802,1139274169,591062027,48070559,1147365860
2020-11-08T00:00:00Z,8446090,8054757,8888898,584126574,39697201,1140591872,592572663,48289239,1148688494
2020-11-09T00:00:00Z,8475754,8066687,8931796,585536927,39875249,1141802814,594012679,48504964,1149919882
2020-11-10T00:00:00Z,8504496,8077411,8973677,586880906,40050491,1142927030,595385402,48716466,1151053078
2020-11-11T00:00:00Z,8532347,8086993,9013957,588161635,40222471,1143943754,596693981,48924379,1152085243
2020-11-12T00:00:00Z,8559340,8096500,9054275,589382219,40391425,1144899340,597941558,49132928,1153036272
2020-11-13T00:00:00Z,8585503,8104923,9092434,590545577,40556644,1145775072,599131079,49337712,1153924048
2020-11-14T00:00:00Z,8610872,8112275,9130533,591654552,40719250,1146564748,600265423,49532861,1154722075
2020-11-15T00:00:00Z,8635471,8119026,9168915,592711835,40879618,1147287042,601347304,49723659,1155444721
2020-11-16T00:00:00Z,8659331,8125255,9206813,593720011,41037662,1147955622,602379340,49911627,1156114136
2020-11-17T00:00:00Z,8682477,8130862,9243390,594681539,41190262,1148566537,603364014,50096047,1156731413
2020-11-18T00:00:00Z,8704936,8136027,9278993,595598793,41339953,1149126226,604303728,50280084,1157288964
2020-11-19T00:00:00Z,8726731,8140245,9314481,596473989,41486842,1149629550,605200719,50461710,1157798108
2020-11-20T00:00:00Z,8747887,8144156,9349852,597309260,41631348,1150104611,606057146,50640080,1158288173
2020-11-21T00:00:00Z,8768430,8148303,9384326,598106660,41774426,1150540483,606875088,50814280,1158720885
2020-11-22T00:00:00Z,8788372,8152009,9415177,598868084,41914624,1150934446,607656456,50986423,1159122986
2020-11-23T00:00:00Z,8807741,8155350,9448220,599595384,42051818,1151290322,608403124,51157934,1159485319
2020-11-24T00:00:00Z,8826561,8158521,9481469,600290283,42186699,1151619829,609116843,51329713,1159816189
2020-11-25T00:00:00Z,8844849,8161323,9513787,600954402,42322410,1151924292,609799250,51491499,1160113003
2020-11-26T00:00:00Z,8862619,8163773,9545606,601589309,42455302,1152195289,610451928,51647712,1160387777
2020-11-27T00:00:00Z,8879893,8166358,9576519,602196465,42585812,1152433958,611076357,51801117,1160640213
2020-11-28T00:00:00Z,8896687,8168808,9607234,602777275,42714346,1152664098,611673961,51952847,1160864626
2020-11-29T00:00:00Z,8913018,8171051,9637642,603333064,42840021,1152873553,612246081,52103878,1161067245
2020-11-30T00:00:00Z,8928902,8173177,9667439,603865071,42962238,1153065098,612793973,52253088,1161262692
2020-12-01T00:00:00Z,8944350,8174766,9696366,604374471,43082318,1153237749,613318820,52402998,1161436369
2020-12-02T00:00:00Z,8959384,8176094,9724320,604862397,43199919,1153393938,613821780,52549578,1161598713
2020-12-03T00:00:00Z,8974012,8177336,9751973,605329897,43315240,1153537424,614303908,52693964,1161746599
2020-12-04T00:00:00Z,8988248,8178880,9778243,605777987,43429248,1153672590,614766234,52833799,1161878377
2020-12-05T00:00:00Z,9002105,8180223,9804705,606207602,43540652,1153797413,615209706,52968212,1162003047
2020-12-06T00:00:00Z,9015597,8181439,9830527,606619632,43649690,1153904133,615635227,53100475,1162113268
2020-12-07T00:00:00Z,9028734,8182501,9856038,607014930,43757162,1154004195,616043663,53237390,1162217338
2020-12-08T00:00:00Z,9041529,8183605,9880938,607394304,43862624,1154094248,616435832,53371032,1162310958
2020-12-09T00:00:00Z,9053992,8184688,9905535,607758513,43965624,1154178288,616812505,53503220,1162396445
2020-12-10T00:00:00Z,9066134,8185499,9929022,608108270,44067343,1154255122,617174403,53633333,1162474639
2020-12-11T00:00:00Z,9077963,8186197,9952760,608444252,44166877,1154325159,617522214,53760804,1162545093
2020-12-12T00:00:00Z,9089487,8187013,9976231,608767104,44264619,1154391043,617856589,53878673,1162607681
2020-12-13T00:00:00Z,9100720,8187689,9999052,609077439,44360711,1154451174,618178158,53994104,1162664403
2020-12-14T00:00:00Z,9111669,8188162,10021996,609375848,44455197,1154506680,618487516,54107831,1162718144
2020-12-15T00:00:00Z,9122340,8188628,10043596,609662850,44548478,1154556034,618785190,54219906,1162770052
2020-12-16T00:00:00Z,9132747,8189042,10064714,609938971,44639760,1154600686,619071716,54329752,1162817402
2020-12-17T00:00:00Z,9142894,8189505,10085532,610204726,44728840,1154641311,619347619,54437193,1162858044
2020-12-18T00:00:00Z,9152789,8189863,10106955,610460552,44816443,1154677456,619613340,54542409,1162895023
2020-12-19T00:00:00Z,9162440,8190188,10126623,610706898,44902584,1154710913,619869338,54645689,1162929113
2020-12-20T00:00:00Z,9171853,8190540,10147368,610944196,44987471,1154741536,620116048,54747034,1162960079
2020-12-21T00:00:00Z,9181036,8190830,10167978,611172827,45069716,1154769093,620353862,54846671,1162988184
2020-12-22T00:00:00Z,9189996,8191201,10187685,611393184,45151085,1154794304,620583179,54948116,1163014202
2020-12-23T00:00:00Z,9198738,8191508,10205833,611605615,45231128,1154817043,620804352,55049306,1163038432
2020-12-24T00:00:00Z,9207268,8191808,10224281,611810451,45309928,1154837782,621017718,55149223,1163062893
2020-12-25T00:00:00Z,9215590,8192107,10243115,612008043,45386784,1154856720,621223632,55243446,1163082705
2020-12-26T00:00:00Z,9223714,8192368,10260403,612198682,45462628,1154873993,621422395,55338175,1163099185
2020-12-27T00:00:00Z,9231644,8192616,10277606,612382655,45537005,1154889808,621614298,55431032,1163113818
2020-12-28T00:00:00Z,9239384,8192804,10294848,612560250,45609893,1154904024,621799634,55522175,1163128290
2020-12-29T00:00:00Z,9246940,8193000,10311302,612731727,45681317,1154916988,621978666,55612089,1163141762
2020-12-30T00:00:00Z,9254319,8193180,10328405,612897336,45751699,1154928699,622151654,55700007,1163154139
2020-12-31T00:00:00Z,9261522,8193358,10345164,613057312,45820899,1154939544,622318833,55786605,1163165574
